"date" "BAC" "INTC" "JPM" "LIN" "MCD" "MSFT" "PG" "T" "VZ" "WMT" "SP500" "Mkt.RF" "SMB" "HML" "RF"
"1991" 2008-08-05 0.0294301512207447 0.0285969794131598 0.0435973260297751 0.0152233110152094 0.0293969667359621 0.0367881519609714 0.0326642560168906 0.0291683980092665 0.0212828069206157 0.0326888761956603 0.0287187410131324 2.65 -0.57 1.65 0.006
"1992" 2008-08-06 -0.00387138720306324 -0.00955667533319793 -0.0119359919429626 0.016883219572674 -0.00304833538478788 0.0309040411588875 -0.00294256521388558 -0.00579719782719501 -0.00897250448425668 0.00696061025839789 0.00335434903121556 0.5 0.54 -1.15 0.006
"1993" 2008-08-07 -0.0576981482990693 0.0381573411810336 -0.0381734353992199 -0.0257785415703968 -0.00450561775991376 0.0136937003545936 -0.00427903580026734 -0.0181407163011353 -0.0157707896172472 -0.062540981329876 -0.0179337382837989 -1.73 0.62 -1.74 0.006
"1994" 2008-08-08 0.0231598826608044 0.0236586839647064 0.0316501573126071 0.0124458865370338 0.0615905560687835 0.0270170451550007 0.0318614444704883 0.0217753155154903 0.026409000455119 0.0158000926062045 0.023892834748642 2.28 0.58 1.38 0.006
"1995" 2008-08-11 0.0350385866297245 0.00619052421339927 0.019966020965275 -0.0232562980412715 0.00426375600638806 -0.00817621667687674 -0.00287262117564291 0.0280912577216879 0.0205266938370201 0.012098441840541 0.00694273047928551 0.83 1.37 1.19 0.006
"1996" 2008-08-12 -0.067405248603613 0.00574292727681414 -0.0947720539269824 -0.00272059280602499 -0.0304777707967573 0.00788526616275154 0.0131070662643866 -0.005967136549337 -0.0135978257366886 0.0117826734802264 -0.0120506700661418 -1.05 1 -1.94 0.006
"1997" 2008-08-13 -0.0729200836308396 -0.0163131702228594 -0.0266351348417581 0.0235332060313154 -0.0181418286162824 -0.00746797955014145 -0.010520313244724 -0.0110586303189205 -0.0134980753962449 -0.0191825019892975 -0.00291566319460645 -0.15 0.75 -2.02 0.006
"1998" 2008-08-14 0.045737975332556 0.00994994604598687 0.0243839705491222 -0.00655332583811052 0.0130611115206323 0 0.0015802560257181 -0.00575051991843856 0.00989824617428003 0.00380103621878636 0.00552180167126237 0.63 0.1 1.3 0.006
"1999" 2008-08-15 0.0172299139058498 -0.00410487267700865 0.00687625912232259 -0.00190106052673711 0.000471772435172602 -0.00358290188186838 0.0271123261119466 0.0173518435474422 0.00778302052144686 0.0218590669105156 0.00407593356167757 0.38 -0.37 1.07 0.006
"2000" 2008-08-18 -0.0456027202975042 -0.0103049570691852 -0.0349355546236513 -0.00750508487535761 -0.0053435773741275 -0.00431504707308916 -0.00460889191153346 -0.0082115819920765 -0.00629299138502948 -0.00909569960953216 -0.015097809073943 -1.45 0.28 -0.89 0.006
"2001" 2008-08-19 -0.0416380062193408 -0.017493007379806 -0.0315731677124508 -0.00270886830113048 -0.0131141117836757 -0.00942690409215063 -0.00771723662955159 -0.0191088838451051 -0.015544193115302 -0.0107087789120774 -0.00931490319377248 -1 -0.56 -1.24 0.006
"2002" 2008-08-20 0.0430912818371798 -0.0084777806169779 0.039910183314197 0.0147129386008751 -0.000480033580682382 -0.00109820300508101 -0.00593868285662236 -0.00357099340861255 0.00731016951249996 0.00274910450039778 0.00619733191676142 0.54 -0.66 -0.06 0.006
"2003" 2008-08-21 -0.00853538778628593 -0.0145359561647087 -0.0199998667202359 0.0130492305891692 -0.00192212877265086 -0.00403094575740881 -0.00569036295883785 0.00228076876143679 0.0034831946420395 0.00239872538596719 0.00249496438142116 0.12 -0.9 -0.45 0.006
"2004" 2008-08-22 0.0402892504813688 0.0190886546935525 0.0388855958289844 -0.000661070731226787 0.0178141069825939 0.0242828320547772 0.0244639443663781 0.013328936425071 0.0208274556025787 0.0160684787299343 0.0113326709518888 1.14 0.43 1.03 0.006
"2005" 2008-08-25 -0.0413772006695896 -0.0221369708877465 -0.0408814227532734 -0.0192794375631832 -0.0211291306801209 -0.00646576443611546 -0.0206675541576541 -0.0208533054114656 -0.0235188899768546 -0.0149727771375545 -0.0196254341136406 -1.92 -0.12 -0.53 0.006
"2006" 2008-08-26 0.00207170630185272 0.00783611634600856 0.0132852026432797 0.00876245497642425 0.000805789230160725 -0.0140998168148684 -0.00413545105344659 0.00327653715015486 -0.00638479665830571 0.00768551962403929 0.00368637249008286 0.33 -0.2 0.15 0.006
